"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","snr"
"X19",-0.0417999469708175,-0.0458830065386023,0.942132144124496,14.5,-2.02077820942213,1.9371783154805,0.75
"X2",0.23758749368449,0.189673665696785,0.849770237354021,5.7,-2.21909046669716,2.69426545406614,0.75
"X20",-0.0462425579668297,-0.0461668399803192,0.949815242210951,16,-2.10243040164648,2.00994528571283,0.75
"X3",0.333197276151621,0.211195003677074,0.832939792069373,4.5,-2.75543493878789,3.42182949109114,0.75
"X4",0.240949842164284,0.150305674630914,0.880717838577271,6.1,-2.91682300401478,3.39872268834335,0.75
"X5",0.200731388270608,0.112208324188348,0.91071508031453,6.6,-3.3494467968121,3.75090957335332,0.75
"X6",0.541478278527176,0.227109183584437,0.82047774268826,3,-4.14203305254472,5.22498960959907,0.75
"X7",1.11748179168343,0.341201323461175,0.733042395156745,1.9,-5.34052915521986,7.57549273858672,0.75
"X8",1.38501713773273,0.472778441266465,0.636512697768673,1.1,-4.37646402594558,7.14649830141105,0.75
"X9",-0.0150740874361035,-0.0130710883198414,0.963683358336508,12.3,-2.3594864737078,2.32933829883559,0.75
"X1",0.178588352227361,0.136524350381684,0.891646968334643,7.3,-2.45426781925268,2.8114445237074,2.1
"X10",-0.0205512849527799,-0.014664473686903,0.971144315285373,13.3,-2.41128769083198,2.37018512092642,2.1
"X11",-0.0354898481419642,-0.0299839485166312,0.968714884755272,14.7,-2.26352468071043,2.1925449844265,2.1
"X12",-0.0227471922478603,-0.019024710392316,0.96760363953637,13.9,-2.32164351192924,2.27614912743352,2.1
"X13",-0.0335806671024566,-0.0277808287762863,0.96419325347211,15.5,-2.35595641197674,2.28879507777183,2.1
"X14",-0.0152800148106811,-0.0117103452631984,0.965162762905165,13.8,-2.42019596456294,2.38963593494158,2.1
"X15",-0.0319532580525175,-0.0290973639871531,0.965683609081619,15.1,-2.3187738057242,2.25486728961916,2.1
"X16",-0.0328060364638094,-0.0254880573114381,0.961743540160801,14.2,-2.35361330335171,2.28800123042409,2.1
"X17",-0.0247956274588762,-0.0200986699758815,0.966702393184495,14.1,-2.35109914914697,2.30150789422921,2.1
"X18",-0.0293512543559194,-0.0240379179762661,0.976150134195177,14.1,-2.39528156255323,2.33657905384139,2.1
