"Features","test.statistics","p.val","rejection","R","snr"
"X16",-0.496603157539934,0.37903758330364,0,-0.00626614711443449,0.5
"X17",-0.381938878566021,0.420144282247832,0.1,-0.00527190928583364,0.5
"X18",0.545362672583439,0.534402223205222,0,0.00689163591382343,0.5
"X19",-0.473394079075509,0.483268020851119,0,-0.00591453849842852,0.5
"X2",14.6075876704106,8.55910527674577e-40,1,0.492416995205028,0.5
"X20",0.102979505700145,0.494515945230392,0.1,0.00161612952381577,0.5
"X3",14.9148206347228,2.70941234427866e-44,1,0.655026575587929,0.5
"X4",14.9105863247529,1.54270266844832e-44,1,0.646364533359459,0.5
"X5",15.5343395953811,2.04013159061007e-39,1,0.658184134083255,0.5
"X6",15.6846163235675,9.88965744524315e-50,1,0.980746838049086,0.5
"X7",15.711941004877,8.22015571873659e-48,1,1.31067297333242,0.5
"X8",15.660797692207,1.95794318083373e-48,1,1.67571985147917,0.5
"X9",0.612356541480083,0.523146604108879,0.1,0.00763178711902394,0.5
"X1",13.3474325411057,4.67073881301787e-33,1,0.73816754626732,1
"X10",-0.36347785099009,0.453329198916882,0.1,-0.0101005258554075,1
"X11",-0.289174420858414,0.574327148868507,0,-0.00687206603066588,1
"X12",-0.380624141245719,0.537224049317222,0,-0.00939935832568729,1
"X13",0.119650564903643,0.590925990094003,0,0.00245330372620529,1
"X14",0.510562808168765,0.449979324543939,0,0.0125433838608064,1
"X15",0.481287051522164,0.440604595571729,0.1,0.0128215190326239,1
"X16",-0.496603157539936,0.379037583303639,0,-0.012532294228869,1
"X17",-0.38193887856602,0.420144282247833,0.1,-0.0105438185716672,1
"X18",0.545362672583441,0.534402223205221,0,0.0137832718276469,1
"X19",-0.473394079075512,0.483268020851115,0,-0.0118290769968571,1
"X2",12.3420969741459,4.48857322934902e-29,1,0.49328566665618,1
"X20",0.102979505700144,0.494515945230392,0.1,0.00323225904763152,1
"X3",13.2193360917961,9.68733878683527e-34,1,0.657972604044583,1
"X4",13.192192665181,1.96219532424899e-34,1,0.641532718407137,1
"X5",13.7776662888535,2.31854422715243e-30,1,0.660002160326814,1
"X6",14.7056496358418,1.09523081139167e-43,1,0.977953673770993,1
"X7",15.160195405465,7.52797751876504e-45,1,1.31103923107164,1
"X8",15.3320146394432,1.27296113610424e-47,1,1.67759596899632,1
"X9",0.612356541480082,0.523146604108881,0.1,0.0152635742380479,1
"X1",9.31768333110894,1.94412849044102e-16,1,0.73687127348362,2.1
"X10",-0.363477850990088,0.453329198916881,0.1,-0.0212111042963556,2.1
"X11",-0.289174420858413,0.574327148868507,0,-0.0144313386643983,2.1
"X12",-0.380624141245721,0.537224049317221,0,-0.0197386524839434,2.1
"X13",0.119650564903642,0.590925990094003,0,0.00515193782503108,2.1
"X14",0.510562808168766,0.449979324543939,0,0.0263411061076935,2.1
"X15",0.481287051522164,0.440604595571729,0.1,0.0269251899685102,2.1
"X16",-0.496603157539934,0.37903758330364,0,-0.0263178178806249,2.1
"X17",-0.381938878566019,0.420144282247833,0.1,-0.0221420190005012,2.1
"X18",0.54536267258344,0.534402223205223,0,0.0289448708380585,2.1
"X19",-0.473394079075511,0.483268020851117,0,-0.0248410616933999,2.1
"X2",8.05361304190198,2.55761177763942e-13,1,0.495196743848714,2.1
"X20",0.102979505700143,0.494515945230393,0.1,0.00678774400002617,2.1
"X3",9.5393292703436,4.16683732382466e-18,1,0.664453866649221,2.1
"X4",9.30569897874032,5.42831432776138e-18,1,0.630902725512028,2.1
"X5",9.77273239253281,1.84298628115595e-16,1,0.664001818062644,2.1
"X6",11.8504545053427,1.05378421736056e-29,1,0.971808712359188,2.1
"X7",13.285982143811,1.10574768422639e-34,1,1.31184499809794,2.1
"X8",14.0874579578602,4.27793445987402e-42,1,1.68172342753405,2.1
"X9",0.612356541480084,0.52314660410888,0.1,0.0320535058999006,2.1
