"Features","test.statistics","p.val","rejection","R","Correlation"
"X3",15.8381996433439,7.40463928591257e-47,1,1.89592375992878,0.75
"X4",15.8274285308784,9.77156490075915e-52,1,1.91682490989927,0.75
"X5",15.995610903342,1.7198561041961e-51,1,1.94047418687345,0.75
"X6",16.0117096970152,3.13681666079562e-50,1,2.94530804584619,0.75
"X7",15.9991693489486,2.33658452997635e-50,1,3.75696036401325,0.75
"X8",16.1015961527577,3.29516847310001e-54,1,4.87413061795338,0.75
"X9",0.125513476161804,0.463217674500455,0.1,0.000561870271588466,0.75
"X1",15.5058048194884,2.57575251817139e-43,1,0.281930710000939,0.9
"X10",0.0124349782190556,0.50633837701784,0,5.28896203176866e-05,0.9
"X11",-0.253825974212325,0.649908281706481,0,-0.00112075625045989,0.9
"X12",-0.571874529739729,0.581112108860903,0,-0.00247057366060847,0.9
"X13",-0.531427187064458,0.622703635417916,0.1,-0.00226619217762987,0.9
"X14",0.691692786226422,0.345200261824904,0.2,0.00289988770082026,0.9
"X15",0.809516733205145,0.382092441229875,0.2,0.00368426115768702,0.9
"X16",-0.400520133529786,0.299799321670335,0.2,-0.00166103942031837,0.9
"X17",0.354975108381546,0.564550593247639,0,0.00155987537630962,0.9
"X18",0.125248996920519,0.403411656725812,0.1,0.00063728074187955,0.9
"X19",0.0580087399598252,0.618721343257469,0,0.000282407589737284,0.9
"X2",15.7553057726021,1.1748526205034e-49,1,0.277872759086609,0.9
"X20",-0.0639467281420139,0.554253977906744,0,-0.000220240676589476,0.9
"X3",15.8381996433439,7.40463928591293e-47,1,1.89592375992878,0.9
"X4",15.8274285308784,9.77156490075847e-52,1,1.91682490989927,0.9
"X5",15.995610903342,1.7198561041961e-51,1,1.94047418687345,0.9
"X6",16.0117096970152,3.13681666079579e-50,1,2.94530804584619,0.9
"X7",15.9991693489486,2.33658452997629e-50,1,3.75696036401325,0.9
"X8",16.1015961527577,3.29516847309998e-54,1,4.87413061795338,0.9
"X9",0.125513476161812,0.463217674500461,0.1,0.000561870271588501,0.9
