"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","beta1"
"X13",0.00349010004202711,0.587601952603461,0.582757605098427,12.8,-0.00498773785365573,0.01196793793771,1
"X14",0.00314139386418302,0.522989802093569,0.620314648017396,13.5,-0.00523961481310795,0.011522402541474,1
"X15",0.00343093236652928,0.602502811278357,0.563703822943409,12,-0.00559814867025864,0.0124600134033172,1
"X16",0.00114422731679293,0.318670385960864,0.756485445816475,15.5,-0.00361408194661253,0.00590253658019839,1
"X17",0.00266480410465757,0.491175636272972,0.63886891828868,13.7,-0.00520512550834324,0.0105347337176584,1
"X18",0.00124288906204342,0.286510118620955,0.782954220462848,16,-0.00337206823296963,0.00585784635705647,1
"X19",0.00109495801112764,0.316545330062319,0.755778010870021,14.9,-0.00395432238718534,0.00614423840944063,1
"X2",2.09814440542231,11.2525494203242,1.05139956788564e-25,7,1.73164853584478,2.46464027499984,1
"X20",0.00257197382842199,0.482422330987306,0.646027800236971,13.5,-0.00461624589224495,0.00976019354908894,1
"X3",3.80475811299471,12.8626229396887,6.45600337657598e-30,5.2,3.22374078454436,4.38577544144506,1
"X4",3.92527826172135,13.0504952228569,1.04398450069949e-34,4.7,3.33522711658357,4.51532940685912,1
"X5",3.95839885464179,12.9829658315824,2.87945278083233e-36,5.1,3.36065660539624,4.55614110388733,1
"X6",8.55248256306248,14.1960948925798,1.03733880551625e-37,3,7.36862265171397,9.73634247441098,1
"X7",15.4333622973756,15.056319494816,1.21895937085173e-47,2,13.4235443864914,17.4431802082598,1
"X8",24.2844749657196,15.2963090710133,4.62498394528747e-44,1,21.1667763113412,27.402173620098,1
"X9",0.00138340718568045,0.361910962109577,0.723254855671551,15,-0.00423610200451406,0.00700291637587496,1
"X1",3.98410781695013,12.9446816893754,1.35252319068912e-34,5.3,3.37787343526091,4.59034219863936,2
"X10",0.00112461540157381,0.266233513867129,0.799470240777507,15.6,-0.00295511401480019,0.00520434481794782,2
"X11",0.00175606454864604,0.34076485747609,0.74810910858223,15.5,-0.00351613609827661,0.00702826519556869,2
"X12",0.00167067790888132,0.320208359190465,0.772072528266274,16,-0.00297955789671636,0.00632091371447901,2
"X13",0.0034901000420271,0.587601952603444,0.582757605098441,12.8,-0.00498773785365573,0.0119679379377099,2
"X14",0.00314139386418306,0.522989802093611,0.620314648017362,13.5,-0.0052396148131079,0.011522402541474,2
"X15",0.00343093236652938,0.602502811278392,0.563703822943384,12,-0.00559814867025853,0.0124600134033173,2
"X16",0.00114422731679295,0.318670385960845,0.756485445816492,15.5,-0.00361408194661249,0.00590253658019838,2
"X17",0.00266480410465757,0.491175636273048,0.638868918288618,13.7,-0.00520512550834326,0.0105347337176584,2
"X18",0.0012428890620435,0.286510118621062,0.782954220462764,16,-0.00337206823296955,0.00585784635705654,2
"X19",0.0010949580111277,0.316545330062341,0.755778010870005,14.9,-0.00395432238718528,0.00614423840944068,2
"X2",2.09814440542231,11.2525494203242,1.0513995678856e-25,8,1.73164853584478,2.46464027499984,2
"X20",0.00257197382842201,0.482422330987326,0.646027800236955,13.5,-0.00461624589224491,0.00976019354908894,2
"X3",3.80475811299471,12.8626229396887,6.45600337657611e-30,5.9,3.22374078454436,4.38577544144506,2
"X4",3.92527826172135,13.0504952228569,1.04398450069949e-34,5.3,3.33522711658357,4.51532940685912,2
