"Features","test.statistics","p.val","rejection","R","beta1"
"X15",-0.400520133529796,0.299799321670328,0.2,-0.0166103942031841,3
"X16",0.35497510838154,0.564550593247643,0,0.0155987537630959,3
"X17",0.125248996920511,0.403411656725813,0.1,0.00637280741879506,3
"X18",0.0580087399598305,0.618721343257468,0,0.00282407589737309,3
"X19",-0.0639467281420178,0.55425397790674,0,-0.00220240676589496,3
"X2",14.0996236648534,8.85670824042852e-38,1,1.41019756505672,3
"X20",0.087803850394235,0.425653544823703,0,0.00475649936780355,3
"X3",14.9221462123884,7.16877089902927e-42,1,1.90956698311592,3
"X4",15.1121931465018,3.3014370409418e-48,1,1.95080887145718,3
"X5",15.0448078474406,3.34044927742544e-46,1,1.97075090539178,3
"X6",15.4358591672391,1.74971879398113e-46,1,2.83335871939665,3
"X7",15.8045567158016,1.65325646459774e-52,1,3.8792714479276,3
"X8",15.706579044738,1.29740476215915e-47,1,4.85090808827853,3
"X9",0.0124349782190657,0.506338377017839,0,0.000528896203177237,3
"X1",15.5250030746973,4.87881589380295e-46,1,3.94418010184667,4
"X10",-0.253825974212318,0.649908281706482,0,-0.0112075625045985,4
"X11",-0.571874529739731,0.581112108860899,0,-0.0247057366060847,4
"X12",-0.531427187064458,0.622703635417916,0.1,-0.0226619217762987,4
"X13",0.691692786226424,0.3452002618249,0.2,0.0289988770082028,4
"X14",0.809516733205141,0.382092441229875,0.2,0.0368426115768701,4
"X15",-0.400520133529797,0.299799321670328,0.2,-0.016610394203184,4
"X16",0.354975108381538,0.564550593247643,0,0.0155987537630958,4
"X17",0.125248996920511,0.403411656725813,0.1,0.00637280741879505,4
"X18",0.0580087399598306,0.618721343257469,0,0.00282407589737309,4
"X19",-0.0639467281420173,0.55425397790674,0,-0.00220240676589494,4
"X2",14.0996236648534,8.85670824042873e-38,1,1.41019756505672,4
"X20",0.0878038503942341,0.425653544823704,0,0.00475649936780351,4
"X3",14.9221462123884,7.16877089902927e-42,1,1.90956698311592,4
"X4",15.1121931465018,3.3014370409418e-48,1,1.95080887145718,4
"X5",15.0448078474406,3.34044927742535e-46,1,1.97075090539178,4
"X6",15.435859167239,1.74971879398113e-46,1,2.83335871939665,4
"X7",15.8045567158016,1.65325646459768e-52,1,3.8792714479276,4
"X8",15.706579044738,1.29740476215911e-47,1,4.85090808827853,4
"X9",0.0124349782190658,0.506338377017839,0,0.000528896203177237,4
"X1",15.6024373165785,1.86799243289952e-46,1,4.92702531894155,5
"X10",-0.253825974212317,0.649908281706482,0,-0.0112075625045985,5
"X11",-0.571874529739731,0.5811121088609,0,-0.0247057366060847,5
