"Features","Feature_Importance_Score","Rank","LB","UB"
"X1",-2.45302604502362,7.1,-3.79088738570707,-1.19516970117225
"X14",4.43420498980272,9,3.5485315033062,5.31563462844156
"X2",-2.22391037303242,6.2,-3.64275965108566,-0.847329915093957
"X3",-2.24042746009214,6.6,-3.78145304897436,-0.883970619854821
"X4",-2.17065514243651,6,-3.27028260007448,-1.09512504171488
"X5",-1.35692839100616,4.1,-3.01722642192862,0.145887041080092
"X6",2.97095436225677,3,1.19946024502756,4.84984859251723
"X7",18.8461150361962,2,15.2102634022146,22.7100863162743
"X8",91.1732121578821,1,77.9464178485812,103.976915743131
