"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB"
"X1",4.04411602075369,4.92248101254829,0.00545737611333279,2,2.44042114484666,5.64781089666071
"X10",-0.127320518899534,-0.618554345464407,0.335220913529831,10.9,-0.617826829659044,0.363185791859977
"X11",-0.186984532607481,-0.832708783984315,0.433096572706903,11.2,-0.677410118232977,0.303441053018016
"X12",-0.353220387258997,-1.59691158908272,0.23194672385308,14.7,-0.802042500788118,0.095601726270123
"X13",-0.148879592375614,-0.759750802572769,0.3736168145203,10.6,-0.613445248355777,0.315686063604549
"X14",-0.213870963395646,-0.923120755779697,0.256999594011447,11.8,-0.705057367378039,0.277315440586748
"X15",-0.335718783810628,-1.51540320738264,0.332707458573906,15,-0.777666923374132,0.106229355752876
"X16",-0.262440642158042,-1.19766852397286,0.320073071253836,13.5,-0.689155501549349,0.164274217233266
"X17",-0.344891487161145,-1.4208090828532,0.272946124944148,14.1,-0.785638445766492,0.0958554714442023
"X18",-0.310267989497436,-1.42646265697269,0.215389935279447,14,-0.787736380863063,0.167200401868192
"X19",-0.253133660912803,-1.03335698728324,0.236302223639548,12.4,-0.723240615118983,0.216973293293378
"X2",-0.125402044722732,-0.442536759141967,0.398783149685897,9.8,-0.616023353293363,0.365219263847898
"X20",-0.350774712251253,-1.38766381004177,0.214039319952296,14.2,-0.840625463190545,0.139076038688039
"X3",-0.138167810489012,-0.352544132390409,0.379750886807424,10.2,-0.762413961541766,0.486078340563743
"X4",-0.221608111559155,-0.803982084873166,0.362083006753025,12.1,-0.682738686955792,0.239522463837481
"X5",0.380621011750644,1.12779690831826,0.342362983220739,3.9,-0.262862671202061,1.02410469470335
"X6",0.180195094521422,0.264286101788327,0.278577190009935,7.4,-0.469066695518081,0.829456884560925
"X7",22.9651291937559,8.688517235782,9.42063057692445e-16,1,17.7818039985133,28.1484543889986
"X8",0.00867297496376427,-0.00609999853556521,0.673624002403408,8.4,-0.650711021638767,0.668056971566296
"X9",-0.246078275612834,-1.05326455685295,0.358245719476187,12.8,-0.697143325502865,0.204986774277197
