"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB"
"X1",0.889940385731998,5.3279529774088,3.71078309130572e-06,2,0.560645038134679,1.21923573332932
"X10",-0.0803561598882616,-1.62288242830743,0.2802619097803,13.3,-0.184841943749574,0.0241296239730513
"X11",-0.0868276113796309,-1.49582141355076,0.231447569763621,13.4,-0.201865673187426,0.0282104504281644
"X12",-0.0950232194007385,-1.62871757949629,0.245346740094118,13.7,-0.221149453298186,0.0311030144967087
"X13",-0.0840766261125801,-1.53958719618858,0.270472237514639,13.5,-0.185834015647429,0.0176807634222688
"X14",-0.100848533080832,-1.72898713558681,0.188672705552569,13.6,-0.211136767744896,0.00943970158323199
"X15",-0.0961713104505659,-1.79478831006371,0.242337352538251,14.1,-0.195265976636886,0.00292335573575409
"X16",-0.0609360377657519,-1.20682176003698,0.378658940166899,12.1,-0.181010582369828,0.0591385068383241
"X17",-0.079163294508281,-1.51896122001313,0.188205081232322,12.9,-0.17784908659151,0.019522497574948
"X18",-0.0779356558537787,-1.50871688709375,0.285336964721159,13.4,-0.187056787310698,0.0311854756031405
"X19",-0.0746632617460925,-1.30526652145473,0.260435051644055,12.5,-0.176907764197478,0.0275812407052933
"X2",-0.0505467600147373,-0.784695851514381,0.386510213295878,9.7,-0.167809853283724,0.0667163332542495
"X20",-0.0838303325559537,-1.53645591965147,0.276878025894848,12.8,-0.187342239466956,0.0196815743550492
"X3",-0.0512543707353091,-0.878336281726581,0.391132387871364,9.3,-0.160879848939857,0.0583711074692387
"X4",-0.0660008967709886,-1.24890365014853,0.314171140165908,10.9,-0.178178703151512,0.0461769096095352
"X5",0.0444056620919401,0.837020847892806,0.290735545975817,4.7,-0.0824423715762914,0.171253695760171
"X6",0.0288322373221654,0.27097563934257,0.411244497639834,6.1,-0.0933745432713579,0.151039017915689
"X7",3.79120798763884,10.7534618491167,7.94109358736075e-22,1,3.1007509727968,4.48166500248088
"X8",-0.0271516578046959,-0.445354849479432,0.578867821022408,8.5,-0.160597758967204,0.106294443357812
"X9",-0.0714016394664683,-1.30649423677733,0.305730633428289,12.5,-0.17750863477195,0.0347053558390131
