"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","Correlation"
"X3",0.01789497858381,0.263510927939403,0.778746254836617,4.9,-0.0848746810198704,0.117151795542999,0.5
"X4",-0.00146348201080824,0.0391632060944941,0.813564445401443,11.7,-0.0868508695925734,0.112886495995551,0.5
"X5",0.00575476526376248,0.0951503627197127,0.787841935101387,9.8,-0.100657358390606,0.0958341842469543,0.5
"X6",0.00256809336814501,0.0140569342374922,0.945214777618597,11.3,-0.232749045702867,0.239287488918315,0.5
"X7",-0.00883011227101882,-0.0342582661894084,0.948677439096719,13.4,-0.283932599771366,0.303646496765124,0.5
"X8",0.0139431161938477,0.0750710866236607,0.879227305821328,9.6,-0.326099595119584,0.402108785413277,0.5
"X9",0.00966749787100928,0.133328173085042,0.706646691049662,9.1,-0.0488426288551003,0.0614648944647584,0.5
"X1",-0.000548503136291124,0.00831390814556881,0.864091587035018,12.1,-0.111139306199849,0.0870096800611827,0.75
"X10",-0.000342140161949766,0.00609276849215776,0.860956243410251,11.7,-0.0528027415104734,0.0536226643981402,0.75
"X11",-0.00427324131118101,0.030832796643388,0.623919383301572,12.2,-0.0611573178985366,0.0590180480558269,0.75
"X12",0.00968615757804218,0.219134090985043,0.671468534645632,8.9,-0.0432905248700819,0.0695848302155516,0.75
"X13",0.00890547332431721,0.141059753533619,0.764366238807421,8.2,-0.0397075772934209,0.0656884917137385,0.75
"X14",0.0118089156538809,0.2728687299112,0.721777022868978,7.5,-0.0386687151641417,0.0702325502682124,0.75
"X15",-0.0031319203270148,-0.170132438987504,0.621045040781952,12.3,-0.0456343354548436,0.0421748381742381,0.75
"X16",0.00225790936420021,0.0611316740217994,0.832221747913889,11.2,-0.0571555514634967,0.0605061369023278,0.75
"X17",0.00434730327866535,0.00724996199249213,0.714121275624398,10.4,-0.047920627485926,0.0633394439594707,0.75
"X18",0.00541741725844772,0.0952253733222744,0.706886099701441,9.4,-0.0519544312375524,0.0646073012955625,0.75
"X19",0.00750290962518424,0.166983250628085,0.659935622834901,8.8,-0.0358265280750746,0.059179555597244,0.75
"X2",2.80604063406065e-05,-0.0856170475386702,0.679351352238879,10.4,-0.0985203186625446,0.106128312743218,0.75
"X20",0.00855539181070883,0.17505015100689,0.757590153811595,9.3,-0.0435410995093305,0.0635225257558055,0.75
"X3",0.00382080217426556,0.0801985892973528,0.820833507807256,9.6,-0.111590921276229,0.108295466610105,0.75
"X4",0.00692126312880352,0.046755743443589,0.838786214005177,10,-0.0875928055740922,0.102340725479571,0.75
"X5",6.72822448959369e-05,0.0732186975404558,0.83053494197171,11.3,-0.0904501842242043,0.106345293905846,0.75
"X6",0.00368463865036378,0.027470543978809,0.938629430852347,10.4,-0.225152715971368,0.215862361385124,0.75
"X7",-0.0207015483214052,-0.0678002564101885,0.908722872272446,15.3,-0.314628667870999,0.310973733800405,0.75
"X8",0.011210181571042,0.0567110822913802,0.89370631792225,10,-0.345741991206233,0.384441505375891,0.75
"X9",0.00166374096243858,0.099589922981186,0.655661739816456,11,-0.0497171793848651,0.0527846997193894,0.75
"X1",-0.00490493714108659,-0.0538381372910877,0.767323768752742,9.5,-0.0942204739209937,0.0874397066562832,0.9
"X10",-0.00804071286541086,-0.246080587960526,0.761756952334764,11.6,-0.0728362892876474,0.058635606645331,0.9
"X11",-0.00903344974197018,-0.173286377833933,0.76222693470651,12.1,-0.0682546627329211,0.0393178020148274,0.9
"X12",-0.00657313714834386,-0.134431229350315,0.756671371473008,10.8,-0.061428359571326,0.055783178752113,0.9
"X13",0.00409802621500684,0.0330873601403973,0.685945287828213,8.4,-0.0619304221237289,0.062541552271969,0.9
"X14",-0.00796298046546148,-0.185319581810646,0.798773736304183,11.9,-0.0643035295016102,0.0505011842264743,0.9
"X15",-0.000285918374637554,0.00976463075798683,0.580439364753761,9.1,-0.0456630280388084,0.0462902608230614,0.9
"X16",0.00280679040216965,0.148159165440258,0.75003369559469,8,-0.0541039261958528,0.067005302851571,0.9
"X17",-0.00298765004018796,-0.122998134381351,0.742820323435291,11.1,-0.0576007537181935,0.0429256990667801,0.9
"X18",-0.00828507463020798,-0.562898446280289,0.598954737561144,12.4,-0.0534475792990962,0.0403457826257139,0.9
"X19",-0.0149842461101094,-0.297399222478115,0.702976382368515,13.4,-0.0725828240190994,0.0423935177442522,0.9
"X2",-0.006414844706125,-0.040717043093354,0.899912080705771,11.4,-0.12398846555221,0.0811163899783342,0.9
"X20",-0.00482341128213396,-0.0395886159363113,0.77960887593298,10.7,-0.0527993290168923,0.0496663792981158,0.9
"X3",0.00167297074585395,0.0594349303574679,0.840548450298466,8.2,-0.0907248305463314,0.0956545294633943,0.9
"X4",-0.0108886353601882,-0.119903418308526,0.698577769408538,11.9,-0.0939423204144587,0.0849317008599521,0.9
"X5",0.00184909511577456,-0.0883213983950399,0.779314434018483,8.2,-0.0992642474102125,0.105179042043227,0.9
"X6",0.00285774894973034,0.0169402055718014,0.923405960727372,8.2,-0.205525595580452,0.205624317531486,0.9
"X7",-0.029646298059236,-0.0986707775289967,0.904256116045743,15,-0.338621177065529,0.306061405579697,0.9
"X8",0.0186598788979832,0.0891619686293744,0.884259252518565,8.5,-0.342176816299922,0.405466316070217,0.9
"X9",-0.00352631517099867,-0.0707661504871718,0.787648086597112,9.6,-0.0656951082133691,0.0550761338926132,0.9
