"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB"
"X1",4.6236202781676,1.35189968847497,0.212941832206032,2,3.35116148615218,5.92690726614636
"X10",-0.2972854403456,-0.0842340348949572,0.929937284850264,13.3,-0.646363405075588,0.0621279582112049
"X11",-0.332773841629607,-0.099227000552274,0.921086419815006,15.4,-0.734524833385722,0.0616337610407395
"X12",-0.278122445466593,-0.0756546272691982,0.938637677957721,13.5,-0.692963546276543,0.15978169609055
"X13",-0.262287556538898,-0.0750815835819827,0.937288731003651,12,-0.611447593355856,0.118887383088277
"X14",-0.285205653451425,-0.0804405040821297,0.934194425635161,14,-0.689444792629466,0.114145477960891
"X15",-0.332120991970644,-0.0902515191986344,0.927463008903763,15.2,-0.760630465724969,0.126004946610598
"X16",-0.273295316239441,-0.0743232331844365,0.94082035127472,13.2,-0.702993629890742,0.189782078984433
"X17",-0.33595603257581,-0.0984506651847451,0.921784189904882,14.9,-0.717746723117142,0.0796975896270387
"X18",-0.279169865901554,-0.0890230914959865,0.926220871844741,12.7,-0.628108776421901,0.093850523237354
"X19",-0.318109838367352,-0.0801026597501316,0.931372118186829,14.2,-0.681904233567216,0.0974067289246998
"X2",-0.174551797962127,-0.0416463307672491,0.951184504054745,9.3,-0.626168930852966,0.301276675236823
"X20",-0.202196366683233,-0.052155070368701,0.951621067814214,10,-0.632134281443781,0.151873192415057
"X3",-0.201060021584113,-0.0499153787651177,0.958654383084962,10.7,-0.71740014284857,0.227550040190968
"X4",-0.223348090796137,-0.0682984533075442,0.945626682402508,11.5,-0.561225579626137,0.0949939796152101
"X5",0.44089889974421,0.147858803860891,0.882848823349815,3.3,-0.0766865040809291,0.978262525243867
"X6",0.296971588297292,0.0933416208488701,0.902986152830096,4.3,-0.430039189341825,0.901503169873038
"X7",23.1966237976992,7.55475186371749,0.00126361707783758,1,18.7088210059536,27.6734117819321
"X8",0.0159959911595244,0.025282013492504,0.945473484242985,5.9,-0.625386029663351,0.632825322625421
"X9",-0.2886609008318,-0.0777324864100483,0.93813802709289,13.6,-0.682740434659189,0.144885825410917
