"Feature_Importance_Score","Features","Rank","LB","UB","Correlation","Sample_Size"
1.33605853370139,"X1",2,1.23744464125235,1.4249271067473,0,1000
1.40819315806163,"X3",1,1.2565267615134,1.60990451193639,0,1000
1.32898917617169,"X1",1,1.22914707870893,1.42722279805003,0.5,1000
1.28016955231531,"X3",2,1.11220596044151,1.48943696004257,0.5,1000
1.3626673786841,"X1",1,1.25022348069167,1.46752764169885,0.75,1000
1.2667584305812,"X3",2,1.18533490738782,1.38870761598526,0.75,1000
0.00258612680052041,"X1",3,0.00261314969299385,0.0106125953059857,0.99,1000
0.0249391226838117,"X2",2,0.0167384062305034,0.0333791573106755,0.99,1000
1.15629999906313,"X3",1,1.0814148928576,1.26806234860299,0.99,1000
