"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","snr"
"X6",0.0137475940467308,0.0707867224085965,0.897448680039041,7.9,-0.220137568153966,0.268449077426853,0.75
"X7",0.00621305131429318,-0.00273561555179667,0.940110077122449,9.7,-0.33906222413881,0.354051412167051,0.75
"X8",0.00870550200303305,0.0249626362647649,0.864383211477091,12.2,-0.243884944662295,0.262546252110022,0.75
"X9",-0.00157737404476237,0.0168633246323947,0.723055228228217,12.3,-0.0820627820551738,0.0742231141328171,0.75
"X1",0.00156193393762453,0.0112306113625903,0.854303876746079,9.7,-0.0824337610801288,0.0838893503178853,2.1
"X10",0.00164152360715219,-0.0115194071229573,0.759272173253904,8.2,-0.0578554459360729,0.05364505310327,2.1
"X11",-0.0111128780670215,-0.177961791730411,0.700096250018639,11.1,-0.074507399960547,0.0547765025028067,2.1
"X12",-0.00382398341772323,0.00365553082098171,0.718388746392271,9.9,-0.069297223889342,0.0511307942032563,2.1
"X13",-0.0103495488196034,-0.186667750232913,0.844907686054112,13.5,-0.0720036834758633,0.0489333820314109,2.1
"X14",-0.00600503771982633,-0.0694141351569699,0.732246804156995,10.5,-0.0672031475347806,0.0513459458651685,2.1
"X15",-0.00517559741588769,-0.102254511686305,0.690897990026836,10.7,-0.0704694408153882,0.0618010089666481,2.1
"X16",-0.0119710404407303,-0.23117464015321,0.739004500399193,12.1,-0.0849791624337718,0.0536366942543097,2.1
"X17",-0.00687135585293905,-0.191320706783027,0.645977229304128,10.9,-0.066826165907315,0.0545701639219268,2.1
"X18",-0.0160301043827123,-0.408193068614963,0.645755043511028,12.6,-0.0761653140567777,0.0386569714446767,2.1
"X19",-0.0108906832277112,-0.203586020920817,0.779934448324301,12.1,-0.068481694443523,0.0487781019150582,2.1
"X2",-0.00145959658289782,-0.0241526146738799,0.812160116492024,9.3,-0.0793360947155353,0.0866417977642117,2.1
"X20",-0.00811048577217384,-0.102039037842658,0.743879318183922,11.3,-0.0778008632545986,0.0704395594598002,2.1
"X3",-0.000298930559445412,-0.0328430345259828,0.908050220981534,9.8,-0.196339062659589,0.196125446800834,2.1
"X4",-0.00291346858631817,-0.0645715540393886,0.841738995734382,10.4,-0.210724080866437,0.153117929133435,2.1
"X5",0.0110416772484316,0.0542206237840248,0.889098580337669,6.8,-0.171435846368039,0.186583226422926,2.1
"X6",0.00401345583146119,0.0412773460148946,0.918162063842879,7.4,-0.232633900144303,0.263054117295415,2.1
"X7",-0.00357028465738607,-0.0159688280788878,0.879863492045615,9.9,-0.324860003779056,0.326360411636489,2.1
"X8",-0.013861363369106,-0.0826810017089143,0.922116968113915,13.1,-0.253801364324028,0.22075122656635,2.1
"X9",-0.0027584372714558,-0.0418257551608622,0.837893047062039,10.7,-0.0890918173716578,0.0902167091259982,2.1
