"Features","diff","beta1"
"X2",2.8470742445292,6
"X20",-0.394618480592999,6
"X3",2.05952327269969,6
"X4",2.06169792364493,6
"X5",2.0618420158582,6
"X6",1.23976427465928,6
"X7",0.748237220985596,6
"X8",0.410269973724687,6
"X9",-0.349475983888535,6
"X1",0.226458828671436,7
"X10",-0.520059488079275,7
"X11",-0.912639387215527,7
"X12",-0.851635546255307,7
"X13",0.104090833622948,7
"X14",0.286526931111504,7
"X15",-1.00302294480816,7
"X16",0.0363047224206648,7
"X17",-0.365926639352369,7
"X18",-0.228501378661234,7
"X19",-0.380492058204435,7
"X2",2.84707424452919,7
"X20",-0.394618480592934,7
"X3",2.05952327269969,7
"X4",2.06169792364493,7
"X5",2.0618420158582,7
"X6",1.23976427465928,7
"X7",0.748237220985595,7
"X8",0.410269973724687,7
"X9",-0.349475983887697,7
"X1",0.176033441929661,8
"X10",-0.520059488079101,8
"X11",-0.912639387215968,8
"X12",-0.851635546255541,8
"X13",0.104090833622957,8
"X14",0.286526931111577,8
"X15",-1.00302294480817,8
"X16",0.0363047224206575,8
"X17",-0.365926639352412,8
"X18",-0.228501378660459,8
"X19",-0.38049205820441,8
"X2",2.84707424452919,8
"X20",-0.39461848059327,8
"X3",2.05952327269969,8
"X4",2.06169792364493,8
"X5",2.06184201585821,8
"X6",1.23976427465928,8
"X7",0.748237220985597,8
"X8",0.410269973724687,8
"X9",-0.349475983890317,8
"X1",0.141220548357371,9
"X10",-0.520059488079793,9
"X11",-0.9126393872152,9
"X12",-0.851635546254897,9
"X13",0.104090833622959,9
"X14",0.286526931111469,9
"X15",-1.00302294480817,9
"X16",0.0363047224205934,9
"X17",-0.365926639352628,9
"X18",-0.2285013786618,9
"X19",-0.380492058204436,9
"X2",2.84707424452919,9
"X20",-0.394618480592985,9
"X3",2.05952327269969,9
"X4",2.06169792364493,9
"X5",2.0618420158582,9
"X6",1.23976427465928,9
"X7",0.748237220985595,9
"X8",0.410269973724687,9
"X9",-0.349475983888503,9
